portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,2056037,GRT-EUR,BUY,2021-04-16T11:18:17.259Z,20,GRT,1.62,0.162,-32.562,EUR
default,2065854,GRT-EUR,BUY,2021-04-18T00:31:05.859Z,20,GRT,1.59,0.159,-31.959,EUR
default,2066116,GRT-EUR,BUY,2021-04-18T01:17:42.053Z,20,GRT,1.56,0.156,-31.356,EUR
default,2076582,GRT-EUR,BUY,2021-04-18T08:50:46.604Z,19.8,GRT,1.41,0.13959,-28.05759,EUR
default,2098251,GRT-EUR,BUY,2021-04-20T10:29:22.306Z,30,GRT,1.29,0.1935,-38.8935,EUR
default,2154744,GRT-EUR,SELL,2021-04-26T09:47:12.844Z,20.49,GRT,1.2,0.12294,24.46506,EUR
default,2154745,GRT-EUR,SELL,2021-04-26T09:47:13.066Z,6.51,GRT,1.2,0.03906,7.77294,EUR
default,2156631,GRT-EUR,BUY,2021-04-26T16:18:55.602Z,20,GRT,1.2,0.12,-24.12,EUR
default,2159501,GRT-EUR,SELL,2021-04-27T06:27:12.711Z,10,GRT,1.27,0.0635,12.6365,EUR
default,2159502,GRT-EUR,SELL,2021-04-27T06:27:12.897Z,10,GRT,1.27,0.0635,12.6365,EUR
default,2167761,GRT-EUR,BUY,2021-04-29T01:09:46.323Z,30,GRT,1.22,0.183,-36.783,EUR
default,2170464,GRT-EUR,BUY,2021-04-29T18:40:10.447Z,24.48,GRT,1.2,0.14688,-29.52288,EUR
default,2170465,GRT-EUR,BUY,2021-04-29T18:40:56.197Z,0.52,GRT,1.2,0.00312,-0.62712,EUR
default,2172429,GRT-EUR,SELL,2021-04-30T09:55:39.205Z,24.13,GRT,1.28,0.154432,30.731968,EUR
default,2172430,GRT-EUR,SELL,2021-04-30T09:55:39.233Z,0.87,GRT,1.28,0.005568,1.108032,EUR
default,2175865,GRT-EUR,SELL,2021-05-01T07:52:03.542Z,30,GRT,1.34,0.201,39.999,EUR
default,2176650,GRT-EUR,SELL,2021-05-01T08:24:14.795Z,14.46,GRT,1.38,0.099774,19.855026,EUR
default,2176651,GRT-EUR,SELL,2021-05-01T08:24:18.092Z,15.54,GRT,1.38,0.107226,21.337974,EUR
default,2180780,GRT-EUR,BUY,2021-05-02T03:45:40.292Z,20,GRT,1.31,0.131,-26.331,EUR
default,2183841,GRT-EUR,SELL,2021-05-03T01:54:37.731Z,20,GRT,1.38,0.138,27.462,EUR
default,2186996,GRT-EUR,BUY,2021-05-03T20:36:21.369Z,20,GRT,1.32,0.132,-26.532,EUR
default,2188225,GRT-EUR,BUY,2021-05-04T00:56:49.935Z,20,GRT,1.25,0.125,-25.125,EUR
default,2193125,GRT-EUR,BUY,2021-05-04T15:18:42.798Z,35,GRT,1.2,0.21,-42.21,EUR
default,2199487,GRT-EUR,SELL,2021-05-05T14:41:37.138Z,35,GRT,1.27,0.22225,44.22775,EUR
default,2209381,GRT-EUR,SELL,2021-05-06T12:57:37.033Z,20,GRT,1.35,0.135,26.865,EUR
default,2223365,GRT-EUR,BUY,2021-05-09T04:11:21.210Z,20,GRT,1.27,0.127,-25.527,EUR
default,2223488,GRT-EUR,BUY,2021-05-09T04:16:15.990Z,30,GRT,1.25,0.1875,-37.6875,EUR
default,2230572,GRT-EUR,BUY,2021-05-10T16:17:43.988Z,30,GRT,1.2,0.18,-36.18,EUR
default,2233051,GRT-EUR,BUY,2021-05-10T20:20:59.480Z,34,GRT,1.13,0.1921,-38.6121,EUR
default,2240015,GRT-BTC,BUY,2021-04-24T09:33:43.727Z,30,GRT,0.0000267,0.000004005,-0.000805005,BTC
default,2473003,XLM-EUR,SELL,2021-02-05T10:37:19.350Z,36,XLM,0.3,0.054,10.746,EUR
default,2643873,ETC-EUR,BUY,2021-05-07T18:24:32.787Z,0.5,ETC,99,0.2475,-49.7475,EUR
